id,lat,lon,bearing,timestamp,distance_from_denver_city_center
1504,39.73915100097656,-104.82391357421875,0.0,1620077884000,14.605575459023889
1515,40.01694869995117,-105.27635192871094,195.0,1620077905000,38.63537384419867
1516,39.83391571044922,-104.75333404541016,90.0,1620077881000,22.862364745192398
1518,39.73925018310547,-104.82261657714844,0.0,1620077909000,14.715868010886759
1520,39.739715576171875,-104.82540130615234,181.0,1620077910000,14.47578525323806
1522,39.73923110961914,-104.82371520996094,0.0,1620077807000,14.622120007912082
1525,39.738033294677734,-104.82364654541016,0.0,1620077559000,14.634505594705347
1526,39.885284423828125,-104.97703552246094,271.0,1620077905000,15.675576391230585
1529,39.88544845581055,-104.82406616210938,269.0,1620077883000,21.357045925342522
1532,39.73780059814453,-104.82308197021484,0.0,1620077889000,14.684111544894215
1540,40.01656723022461,-105.27660369873047,271.0,1620077907000,38.61560522299772
1652,39.74399948120117,-104.99068450927734,136.0,1620077905000,0.34925330572495583
1653,39.75491714477539,-105.00328063964844,223.0,1620077900000,1.3348486680229383
1657,39.748748779296875,-104.99653625488281,118.0,1620077910000,0.4544179983165343
1660,39.745784759521484,-104.99288177490234,311.0,1620077900000,0.17225012986254454
1662,39.741615295410156,-104.98641967773438,14.0,1620077897000,0.7899198757323895
1669,39.74843215942383,-104.99656677246094,313.0,1620077903000,0.4229296691851736
1672,39.75273132324219,-105.00216674804688,134.0,1620077911000,1.081459350083487
1675,39.75080108642578,-104.99922943115234,128.0,1620077908000,0.7625364812303027
1680,39.768733978271484,-104.98566436767578,0.0,1620077852000,2.7521940010289274
1685,39.769615173339844,-104.98481750488281,316.0,1620077506000,2.8666975716321614
3602,39.95071792602539,-105.15406799316406,315.0,1620077876000,26.623855577499903
3609,39.910499572753906,-105.08761596679688,332.0,1620077911000,20.048704970528117
3612,39.87948226928711,-105.06639862060547,151.0,1620077883000,16.16755059926335
3623,39.877899169921875,-105.06511688232422,151.0,1620077903000,15.963216269692317
3635,40.01676559448242,-105.24949645996094,0.0,1620077894000,37.236163084453445
3638,39.95090103149414,-104.86471557617188,308.0,1620077855000,25.441908970956177
3640,40.01691818237305,-105.24961853027344,0.0,1620077694000,37.25600374609351
3642,39.75490188598633,-105.0020523071289,127.0,1620077897000,1.2778317859826354
3649,40.0081672668457,-105.27539825439453,151.0,1620077890000,37.825301118903965
3671,39.754417419433594,-105.00174713134766,125.0,1620077884000,1.218145572941047
3674,40.001834869384766,-105.26478576660156,331.0,1620077900000,36.70839376682258
3701,39.979915618896484,-105.45536804199219,17.0,1620077842000,47.21419860482565
3702,40.01618194580078,-105.25006866455078,202.0,1620077412000,37.21214396546528
3706,40.12514877319336,-105.14673614501953,229.0,1620077901000,44.21984530358395
3707,39.958133697509766,-105.1681137084961,150.0,1620077908000,27.95180062180888
3710,39.83326721191406,-104.72756958007812,92.0,1620077887000,24.836658911605795
3716,39.85771560668945,-105.05329895019531,350.0,1620077904000,13.5045898625677
3722,39.988616943359375,-105.25491333007812,124.0,1620077908000,35.038027405259086
3728,40.0130500793457,-105.31768035888672,294.0,1620077651000,40.60416013853648
3731,39.98453140258789,-104.82306671142578,172.0,1620077889000,30.3956715418028
3909,39.56271743774414,-104.88040161132812,329.0,1620077900000,22.49657495959302
3939,40.1551513671875,-105.10265350341797,180.0,1620077883000,46.53120493390147
3940,40.206668853759766,-105.0987319946289,234.0,1620077462000,52.09979259447639
3941,39.678531646728516,-104.9404525756836,269.0,1620077904000,8.716129109192307
3942,40.18135070800781,-105.11778259277344,269.0,1620077899000,49.64627443210247
3944,40.163883209228516,-105.09698486328125,89.0,1620077897000,47.39179326933884
3948,40.16386795043945,-105.09712982177734,90.0,1620077889000,47.39240299360381
3953,39.610267639160156,-105.01640319824219,94.0,1620077892000,15.091210045977821
3956,40.185882568359375,-105.10221862792969,0.0,1620077906000,49.87793514923871
3964,40.16401672363281,-105.10408020019531,271.0,1620077907000,47.52144627106706
3971,39.67903137207031,-104.93154907226562,15.0,1620077902000,9.09860123740927
5104,39.711299896240234,-105.0254135131836,271.0,1620077903000,4.57727427972135
5113,39.811283111572266,-104.94221496582031,0.0,1620077892000,8.626808119098104
5118,39.762699127197266,-105.10953521728516,359.0,1620077898000,10.02301820391845
5120,39.60966873168945,-105.08679962158203,90.0,1620077892000,16.986450829969336
5121,39.79551696777344,-105.025146484375,0.0,1620077877000,6.199868616222731
5123,39.69406509399414,-105.02494812011719,356.0,1620077889000,6.225502629174883
5124,39.65533447265625,-104.99966430664062,345.0,1620077900000,9.973722941331225
5126,39.857051849365234,-105.05377960205078,148.0,1620077906000,13.45148662107041
5128,39.56591796875,-104.96031951904297,7.0,1620077878000,20.12128217299537
5130,39.610267639160156,-105.01678466796875,98.0,1620077872000,15.095284970502735
5131,39.68971633911133,-105.05338287353516,181.0,1620077887000,7.93793590210976
5134,40.00149917602539,-105.2645034790039,332.0,1620077902000,36.66425545730827
5138,40.0146484375,-105.09378051757812,90.0,1620077895000,31.15946156298289
5139,39.73926544189453,-104.82337951660156,0.0,1620077901000,14.650624874179032
5141,39.7380485534668,-104.8231201171875,0.0,1620077648000,14.679361617581309
5142,39.65060043334961,-104.81016540527344,180.0,1620077902000,18.946317365959867
5144,39.7510986328125,-104.9127197265625,276.0,1620077897000,7.031393245499547
5148,39.810916900634766,-105.14061737060547,266.0,1620077787000,14.475368362929373
5152,39.83883285522461,-105.08164978027344,358.0,1620077903000,12.81827909039694
5157,40.017234802246094,-105.27556610107422,172.0,1620077892000,38.61858819824991
5159,39.721832275390625,-104.90345001220703,2.0,1620077902000,8.205180131816261
5160,39.75796890258789,-104.9128646850586,178.0,1620077903000,7.133758617376315
5162,39.6529655456543,-104.93028259277344,90.0,1620077894000,11.612936256304454
5165,39.85618209838867,-104.9554672241211,270.0,1620077906000,12.811260862893096
5166,40.01734924316406,-105.10285186767578,0.0,1620077905000,31.665628457929845
5170,39.73981857299805,-104.98390197753906,87.0,1620077908000,1.076404020485046
5171,39.71966552734375,-104.89078521728516,79.0,1620077890000,9.309870168559305
5174,39.927066802978516,-104.8183364868164,0.0,1620077904000,25.228454331639128
5178,39.6835823059082,-104.94062042236328,176.0,1620077911000,8.237567051868627
5181,39.73509979248047,-104.94965362548828,91.0,1620077907000,3.9941243406778577
5184,39.71103286743164,-104.94090270996094,181.0,1620077893000,5.940548175936896
5186,39.751399993896484,-104.94083404541016,180.0,1620077903000,4.650224764752054
5188,39.74325180053711,-104.97716522216797,90.0,1620077905000,1.5006479850279408
5190,39.762901306152344,-104.98145294189453,51.0,1620077905000,2.289807620457512
5192,39.762550354003906,-104.9809341430664,318.0,1620077910000,2.2782556937143217
5193,40.017581939697266,-105.2760009765625,78.0,1620077889000,38.67184543787238
5198,40.02803421020508,-105.28216552734375,180.0,1620077892000,39.90948998502668
5199,39.93050003051758,-105.14730072021484,203.0,1620077882000,24.406359039072374
5200,39.996849060058594,-105.0904312133789,0.0,1620077907000,29.178625926371677
5201,39.98554992675781,-105.24974822998047,57.0,1620077899000,34.49535628058099
5204,40.019615173339844,-105.25859832763672,182.0,1620077476000,37.949306375450824
5206,39.84550094604492,-105.00614929199219,180.0,1620077900000,11.223916435137689
5208,40.000267028808594,-105.26141357421875,85.0,1620077668000,36.39233919865503
5211,40.02086639404297,-105.25353240966797,356.0,1620077900000,37.80702123412397
5213,40.00001525878906,-105.24288177490234,91.0,1620077890000,35.40195246861624
5220,39.986881256103516,-105.13451385498047,91.0,1620077889000,29.43213594255209
5224,40.01471710205078,-105.12871551513672,271.0,1620077907000,32.10479859316231
5232,40.049232482910156,-105.2591323852539,162.0,1620077893000,40.669073575180484
5241,39.82713317871094,-104.92864990234375,91.0,1620077889000,10.73474349049521
5248,39.70854949951172,-104.81803131103516,269.0,1620077887000,15.63067850409821
5251,39.7110481262207,-105.02439880371094,87.0,1620077890000,4.551004875533364
5252,39.8111686706543,-104.94121551513672,0.0,1620077907000,8.660595223705819
5253,39.775333404541016,-104.94355010986328,172.0,1620077811000,5.51700673369931
5261,39.59523391723633,-104.87940216064453,272.0,1620077889000,19.346463190340604
6002,39.711334228515625,-104.93267059326172,271.0,1620077901000,6.480464760240596
6006,39.740299224853516,-105.03182983398438,92.0,1620077905000,3.22655593719599
6009,39.65264892578125,-105.03260040283203,52.0,1620077858000,10.76598791674426
6014,39.89815139770508,-104.97753143310547,0.0,1620077909000,17.0965760556558
6015,39.74639892578125,-104.99066925048828,227.0,1620077902000,0.3710449545596635
6017,39.78196716308594,-104.95860290527344,274.0,1620077893000,5.137721157531194
6018,39.885215759277344,-104.97889709472656,258.0,1620077909000,15.65357304920989
6019,39.699066162109375,-104.86609649658203,179.0,1620077896000,12.114623150760345
6020,39.73753356933594,-105.12063598632812,100.0,1620077685000,10.809173172715056
6021,39.67866516113281,-105.03483581542969,266.0,1620077893000,8.13482372358158
6024,39.703033447265625,-104.97338104248047,180.0,1620077906000,5.000738282572909
6025,39.73899841308594,-104.99988555908203,327.0,1620077900000,0.8023048330851738
6026,39.737518310546875,-104.81016540527344,180.0,1620077890000,15.788587952359006
6029,39.76186752319336,-104.91291809082031,91.0,1620077911000,7.229590259445211
6030,39.71078109741211,-105.08609771728516,1.0,1620077884000,8.69962862664958
6031,39.74836730957031,-104.97808074951172,3.0,1620077899000,1.4607150282590813
6033,39.74039840698242,-104.98358154296875,181.0,1620077899000,1.0677080796660712
6035,39.655799865722656,-104.99966430664062,314.0,1620077889000,9.922025537423409
6040,39.76448440551758,-104.93575286865234,270.0,1620077905000,5.477564997905016
6041,39.74784851074219,-104.99371337890625,54.0,1620077857000,0.33074237091693026
6043,39.77054977416992,-104.98546600341797,0.0,1620077466000,2.951157081177678
6044,39.675018310546875,-104.8411636352539,268.0,1620077871000,15.25328469722072
6046,39.74753189086914,-104.87821960449219,271.0,1620077911000,9.951874037766672
6047,39.78386688232422,-104.79078674316406,271.0,1620077907000,17.94740191285443
6048,39.58546829223633,-104.82154846191406,52.0,1620077904000,23.10373163913352
6049,39.700199127197266,-104.94941711425781,275.0,1620077892000,6.298810530139396
6050,39.72563171386719,-104.82941436767578,92.0,1620077909000,14.284828997252376
6053,39.67774963378906,-105.02034759521484,358.0,1620077882000,7.790224430983367
6057,39.77669906616211,-104.75375366210938,160.0,1620077884000,20.884720816820547
6058,39.736934661865234,-104.82353210449219,88.0,1620077450000,14.651315248249883
6059,39.66754913330078,-104.84407043457031,269.0,1620077899000,15.486180059892142
6060,39.73868179321289,-104.8228530883789,0.0,1620077882000,14.698587031915107
6063,39.754634857177734,-105.00201416015625,121.0,1620077482000,1.250546736180248
6064,39.75251770019531,-104.99687957763672,136.0,1620077908000,0.8642219471513329
6066,39.740318298339844,-104.77373504638672,268.0,1620077532000,18.888313630617205
6068,39.739200592041016,-104.82318115234375,0.0,1620077472000,14.66788798647348
6073,39.70903396606445,-104.81424713134766,125.0,1620077892000,15.929828590276928
6074,39.74021530151367,-104.94532012939453,271.0,1620077893000,4.244171951300531
6075,39.7093505859375,-105.08615112304688,351.0,1620077900000,8.774404954794141
6076,39.73939895629883,-104.84716796875,176.0,1620077881000,12.61823575149572
6077,39.7761344909668,-104.90343475341797,0.0,1620077864000,8.527254180368814
6078,39.7949333190918,-104.75180053710938,107.0,1620077897000,21.479839464482353
6079,39.697265625,-104.84711456298828,359.0,1620077906000,13.68070371550281
6080,39.6386833190918,-104.82752990722656,271.0,1620077911000,18.54418978094766
6083,39.740234375,-104.8630142211914,272.0,1620077889000,11.260471939381548
6086,39.653934478759766,-104.83245086669922,322.0,1620077903000,17.169415413194177
6090,39.69704818725586,-104.90360260009766,178.0,1620077911000,9.42889722749247
6091,39.69575119018555,-104.84725189208984,176.0,1620077904000,13.736191815651878
6094,39.662567138671875,-104.84712982177734,0.0,1620077898000,15.588601403270223
6096,39.652950286865234,-104.77310180664062,90.0,1620077901000,21.532394786949787
6098,39.762001037597656,-104.90543365478516,273.0,1620077899000,7.8526737951784575
6099,39.744117736816406,-104.86579895019531,181.0,1620077909000,11.010255668257338
6100,39.778282165527344,-104.84712982177734,180.0,1620077881000,13.136514458367508
6105,39.82378387451172,-105.02684783935547,19.0,1620077909000,9.189013345173029
6108,39.76966857910156,-104.89164733886719,166.0,1620077887000,9.217671629683347
6114,39.739967346191406,-104.96797943115234,94.0,1620077909000,2.34061297951142
6117,39.770416259765625,-104.97360229492188,224.0,1620077627000,3.3515888598333494
6118,39.76940155029297,-105.04953002929688,269.0,1620077904000,5.427293465105276
6120,39.74055099487305,-104.98636627197266,87.0,1620077404000,0.8556357107882004
6129,39.75358200073242,-105.00273132324219,236.0,1620077883000,1.1862265980820303
6130,39.7158317565918,-104.99217987060547,183.0,1620077907000,3.2440509611644535
6132,39.66701889038086,-105.0147705078125,0.0,1620077805000,8.835520358349699
6135,39.70806884765625,-105.08560180664062,135.0,1620077900000,8.798086452657902
6137,39.695648193359375,-104.95939636230469,180.0,1620077903000,6.253260191206011
6138,39.74391555786133,-104.90348052978516,181.0,1620077887000,7.789179286410522
6139,39.67231750488281,-104.903564453125,0.0,1620077902000,11.217366280586608
6140,39.64725112915039,-105.0006332397461,170.0,1620077892000,10.875355767020912
6146,39.805782318115234,-105.0251693725586,359.0,1620077898000,7.251596324579544
6150,39.74639892578125,-105.0251693725586,0.0,1620077887000,2.6202627743249116
6153,39.66736602783203,-105.01353454589844,0.0,1620077744000,8.777524212246137
6155,39.97684860229492,-105.13228607177734,90.0,1620077906000,28.337152835104533
6156,40.005733489990234,-105.27213287353516,134.0,1620077906000,37.43969642620356
6158,39.78744888305664,-105.04061889648438,271.0,1620077910000,6.149334690600255
6159,39.76468276977539,-104.92716979980469,94.0,1620077890000,6.1657887934854605
6162,39.70735168457031,-105.0015640258789,0.0,1620077890000,4.2229240440790585
6163,39.79899978637695,-105.07948303222656,82.0,1620077910000,9.421628013471322
6164,39.82725143432617,-104.93928527832031,268.0,1620077907000,10.298698818065823
6169,39.7692985534668,-105.04830169677734,84.0,1620077909000,5.330859391211201
6172,39.798301696777344,-104.90480041503906,96.0,1620077897000,9.698352855287391
6179,39.79778289794922,-104.90339660644531,0.0,1620077906000,9.758727005886707
6190,39.798831939697266,-105.0797348022461,71.0,1620077910000,9.426342585642555
6193,39.77183151245117,-104.86589813232422,184.0,1620077907000,11.398076178472985
6195,39.74006652832031,-104.86595153808594,89.0,1620077883000,11.010538349752794
6197,39.6105842590332,-105.01599884033203,66.0,1620077907000,15.052022638438983
6198,39.90713119506836,-105.08983612060547,297.0,1620077883000,19.782670177148344
6199,39.740234375,-104.98731994628906,176.0,1620077889000,0.8123678510475653
6200,39.81216812133789,-104.99041748046875,249.0,1620077326000,7.482491504054601
6207,39.748531341552734,-105.00234985351562,257.0,1620077903000,0.7746300093671596
6213,39.937965393066406,-104.81835174560547,180.0,1620077885000,26.20964412358319
6220,40.015750885009766,-105.27928161621094,197.0,1620077896000,38.68780806479506
6222,40.006500244140625,-105.27303314208984,305.0,1620077909000,37.55423766248081
6224,39.96500015258789,-105.25402069091797,312.0,1620077889000,33.00087908743764
6228,40.06290054321289,-105.28248596191406,117.0,1620077904000,43.045122470146616
6233,39.74021530151367,-105.07695007324219,94.0,1620077902000,7.06212407641663
6237,39.98970031738281,-105.256103515625,320.0,1620077889000,35.19546833880825
6239,40.01656723022461,-105.24913024902344,0.0,1620077885000,37.200029466683986
6242,40.05514907836914,-105.28213500976562,0.0,1620077907000,42.32356744635773
6243,39.728065490722656,-104.97295379638672,0.0,1620077882000,2.6349583912677836
6244,39.731201171875,-105.0457992553711,87.0,1620077874000,4.6386023212576735
6247,39.77080154418945,-104.97261810302734,135.0,1620077911000,3.433122658678136
6248,39.70970153808594,-105.07506561279297,1.0,1620077899000,7.920487019671133
6249,39.73753356933594,-104.9986343383789,356.0,1620077890000,0.8944984543938922
6250,39.74041748046875,-105.01168060302734,271.0,1620077904000,1.5465615698995177
6251,39.75434875488281,-104.98191833496094,48.0,1620077882000,1.5045336870982813
6252,39.66749954223633,-104.80149841308594,92.0,1620077886000,18.6265742252993
6253,39.77293395996094,-104.79518127441406,271.0,1620077901000,17.32539536860596
6256,39.64899826049805,-104.91511535644531,291.0,1620077901000,12.650653783750597
6262,39.6912841796875,-104.8322525024414,277.0,1620077864000,15.11120023539234
6266,39.78461837768555,-104.80951690673828,4.0,1620077906000,16.42048336769683
6267,39.78364944458008,-104.94036865234375,3.0,1620077894000,6.323257130815417
6270,39.77326583862305,-104.84691619873047,4.0,1620077887000,13.008337145978603
6271,39.716217041015625,-104.86588287353516,0.0,1620077873000,11.459253720710906
6275,39.740116119384766,-104.75420379638672,90.0,1620077910000,20.558197895187043
6276,39.76264953613281,-104.79126739501953,181.0,1620077909000,17.49060612849672
6277,39.751949310302734,-104.91242980957031,356.0,1620077893000,7.065810812717522
6278,39.741416931152344,-104.98958587646484,315.0,1620077906000,0.580042572463854
6279,39.7401008605957,-104.8989486694336,90.0,1620077902000,8.193758171545864
6283,39.75141525268555,-104.99539947509766,300.0,1620077899000,0.7223715193313333
6286,39.72520065307617,-104.94059753417969,1.0,1620077893000,5.111373397031325
6287,39.65318298339844,-104.88453674316406,270.0,1620077884000,13.882929120611443
6289,39.60976791381836,-104.74458312988281,356.0,1620077879000,26.146169354380397
6290,39.70393371582031,-105.02491760253906,273.0,1620077889000,5.246900746243632
6291,39.652984619140625,-104.87126922607422,90.0,1620077889000,14.691688426055796
6294,39.6338996887207,-105.03482055664062,182.0,1620077904000,12.818648644063927
6298,39.74005126953125,-105.02986907958984,1.0,1620077901000,3.0659850544368887
6299,39.7338981628418,-105.17188262939453,90.0,1620077884000,15.209282855093965
6303,39.77830123901367,-104.81731414794922,111.0,1620077904000,15.598493396601969
6305,39.598167419433594,-104.79998016357422,138.0,1620077905000,23.318166596592967
6307,39.766632080078125,-104.85081481933594,177.0,1620077899000,12.523171141455618
6309,39.65800094604492,-104.809814453125,0.0,1620077898000,18.52827493839313
6315,39.74034881591797,-104.84203338623047,258.0,1620077867000,13.052063441938534
6317,39.75531768798828,-105.2212142944336,325.0,1620077890000,19.408694134223133
6319,39.741268157958984,-104.98623657226562,348.0,1620077781000,0.8222936490101406
6322,39.70013427734375,-104.98746490478516,357.0,1620077900000,5.019955706548465
6323,39.741233825683594,-104.9861831665039,359.0,1620077788000,0.8281547248373022
6325,39.689483642578125,-105.02633666992188,264.0,1620077897000,6.738853124407889
6326,39.740116119384766,-105.10441589355469,91.0,1620077909000,9.406079930773915
6327,39.73568344116211,-105.02484893798828,270.0,1620077909000,2.785629563597958
6329,39.74024963378906,-105.11997985839844,267.0,1620077911000,10.734095998510055
6331,39.67488479614258,-104.83696746826172,92.0,1620077889000,15.570583361466593
6335,39.7404670715332,-105.05371856689453,269.0,1620077907000,5.080763156593177
6337,39.748600006103516,-105.002197265625,258.0,1620077876000,0.7674813224182214
6338,39.679866790771484,-104.93831634521484,122.0,1620077898000,8.690517996229424
6339,39.73476791381836,-104.82337951660156,177.0,1620077663000,14.681176624930439
6340,39.67848205566406,-104.95915222167969,270.0,1620077892000,7.987539356760084
6341,39.755001068115234,-105.00281524658203,77.0,1620077891000,1.3209769043645223
6343,39.74406814575195,-104.99308013916016,315.0,1620077911000,0.1612626407356259
6346,39.82780075073242,-105.00605010986328,2.0,1620077901000,9.264221590081949
6349,39.66135025024414,-104.94056701660156,359.0,1620077909000,10.380344692580119
6350,39.75411605834961,-105.00177001953125,318.0,1620077907000,1.1903162366714533
6353,39.76150131225586,-104.94046783447266,1.0,1620077907000,4.978232606792861
6356,39.72608184814453,-104.81026458740234,0.0,1620077889000,15.898795965559284
6358,39.779048919677734,-104.97906494140625,5.0,1620077907000,4.016701615767936
6360,39.679115295410156,-105.05259704589844,84.0,1620077865000,8.8436607046154
6361,39.792301177978516,-104.94011688232422,34.0,1620077908000,7.027451196083564
6364,39.66780090332031,-104.86226654052734,323.0,1620077899000,14.201536238182445
6365,39.73998260498047,-104.9867172241211,88.0,1620077911000,0.8698797123894935
6368,39.747249603271484,-105.00495147705078,358.0,1620077894000,0.9229638271606586
6370,39.752967834472656,-105.02529907226562,180.0,1620077909000,2.7734781405406888
6381,39.866432189941406,-105.0251693725586,182.0,1620077886000,13.758057489641757
6382,39.729331970214844,-105.02521514892578,180.0,1620077911000,3.1428226594460407
6383,39.597415924072266,-104.88898468017578,178.0,1620077906000,18.728803813309717
6385,39.65945053100586,-105.06538391113281,303.0,1620077892000,11.272265661383397
6386,39.72453308105469,-105.02491760253906,1.0,1620077901000,3.447172508402422
6387,39.7547492980957,-104.90333557128906,0.0,1620077899000,7.8758555427538735
6388,39.53858184814453,-105.0363998413086,0.0,1620077889000,23.223621829738086
6389,39.67055130004883,-105.05332946777344,180.0,1620077899000,9.679184253544054
6391,39.71894836425781,-105.05314636230469,4.0,1620077910000,5.782673997512531
6395,39.630165100097656,-104.80345153808594,114.0,1620077890000,20.74445003600446
6396,39.64884948730469,-104.91290283203125,36.0,1620077901000,12.767219210977018
6402,39.74136734008789,-104.99011993408203,50.0,1620077881000,0.5512869872942149
6403,39.86348342895508,-104.97795104980469,175.0,1620077893000,13.25607436157479
6406,39.824615478515625,-105.02818298339844,92.0,1620077896000,9.311796865396163
6407,39.827232360839844,-104.91981506347656,90.0,1620077899000,11.158434583730454
6408,39.75419998168945,-105.08128356933594,357.0,1620077894000,7.483254376428253
6409,39.66884994506836,-105.08136749267578,2.0,1620077890000,11.256633174076786
6410,39.709598541259766,-105.13288116455078,126.0,1620077905000,12.463068636916287
6415,39.698768615722656,-104.9207534790039,92.0,1620077896000,8.13809261212987
6501,39.656715393066406,-104.99828338623047,86.0,1620077872000,9.815802791906677
6503,39.813018798828125,-105.02543640136719,181.0,1620077911000,8.014803965923223
6506,39.80445098876953,-105.02503204345703,270.0,1620077901000,7.109424944998309
6507,39.65178298950195,-105.05473327636719,121.0,1620077898000,11.567018285498147
6508,39.80561828613281,-105.05193328857422,89.0,1620077890000,8.33835510723832
6511,39.6518669128418,-105.05358123779297,230.0,1620077908000,11.515117301812744
6512,39.708831787109375,-104.99246978759766,186.0,1620077844000,4.0199307116407414
6513,39.72606658935547,-105.02486419677734,0.0,1620077911000,3.3337835831225533
6515,39.66758346557617,-104.9021987915039,87.0,1620077906000,11.680971457289841
6518,39.71134948730469,-105.02525329589844,180.0,1620077911000,4.564880943779433
6520,39.78388214111328,-105.06138610839844,262.0,1620077906000,7.16546186840592
6525,39.9067497253418,-105.08619689941406,317.0,1620077891000,19.61803555696928
6530,39.86344909667969,-105.01909637451172,91.0,1620077883000,13.341357113060575
6539,39.85653305053711,-105.08264923095703,268.0,1620077903000,14.509781305399306
6541,39.71799850463867,-105.13223266601562,77.0,1620077911000,12.146296425375498
6543,39.76198196411133,-105.00556945800781,251.0,1620077887000,2.114109501799451
6551,39.92850112915039,-104.92803192138672,270.0,1620077899000,21.185166482365737
6554,39.74736785888672,-104.84953308105469,89.0,1620077893000,12.40312428809217
6557,39.77299880981445,-104.94213104248047,269.0,1620077891000,5.461160210952317
6558,39.75434875488281,-105.00141906738281,232.0,1620077911000,1.197611823156163
6559,39.74879837036133,-104.99241638183594,44.0,1620077907000,0.4661899526376288
6565,39.68636703491211,-104.94053649902344,356.0,1620077894000,7.987074145836445
6569,39.85660171508789,-105.06189727783203,273.0,1620077889000,13.68181677841434
9301,39.74024963378906,-104.87128448486328,270.0,1620077897000,10.554127163535881
9302,39.74020004272461,-104.94036865234375,271.0,1620077900000,4.664724867909768
9303,39.74171829223633,-104.98690032958984,220.0,1620077902000,0.7483137982215384
9306,39.740318298339844,-104.84480285644531,269.0,1620077906000,12.815608001753036
